Nom,X,Y,Z_g_earth,Longueur
PZ1,433400,354250,458,574.5
PZ2,441977.01,358433.96,445,780
PZ3,446636.77,357501.94,327,551.3
PZ4,436850,355100,466,813.41
PZ5,439292.77,356688.05,446,747.55
PZ6,437500,356400,457,737.24
PZ7,439450,355450,468,799.94
PZ8,440530,356100,472,825.45
PZ9,438400,354750,462,825.65
PZ10,439260,354400,478,822.3
PZ11,438325,357350,451,728.29
PZ12,437590.83,358259.51,446,511
PZ13,440868.45,354707.34,467,809.4
PZ14,442677.21,355983.27,478,910.68
PZ15,438317.25,360351.27,458,419
PZ16,435870.39,356468.93,462,613
PZ17,435463.15,355119.18,477,668.5
PZ18,434988.41,356796.63,449,574
PZ19,436377.17,354203.34,470,825
PZ20,439241.73,358847.08,415,538.5
PZ21,440625.8,359137.75,433,698.22
PZ22,441281.94,358896.12,443,744.75
PZ23,439374.6,352565.31,383,749.5
PZ24,437167.31,352944.63,381,734.7
PZ25,432767.18,351479.03,463,621
PZ26,440870.24,353145.92,474,870
PZ27,438109.71,353600.86,410,752.4
PZ28,442331.1,354697.77,466,861.7
PZ29,437816.33,352499.31,432,768.58
PZ30,437212.67,354148.51,440,826.05
PZ31,439445.68,351795.24,367,636.78
PZ32,436687.72,355819.41,455,616
PZ33,436933.73,358368.08,445,532.1
PZ34,435701.38,357968.75,445,589
PZ35,437310.63,355650.89,461,761.1
PZ36,437213,357595.88,444,502.52
PZ37,436706.63,356900.18,452,535.1
PZ38,437223.75,357714,446,508.9
PZ39,437654.02,357694.64,445,513.47
PZ40,436704.37,357555.37,449,512
PZ41,437811.38,357198.12,454,609
PZ42,430008.35,348512.8,449,535.2
PZ43,436851.25,355849.46,455,753
PZ44,429006.9,349514.73,455,514.39
PZ45,439913.39,358855.62,431,700
PZ46,430352.15,350158.28,440,541.5
PZ47,438837.43,359452.79,436,542.8
PZ48,431008.56,349519.41,450,512
PZ49,438026.22,359028.47,451,504
PZ50,438070.44,358395.29,450,535.1
PZ51,437377.53,358866.49,456,505
PZ52,436404.51,358424.74,443,553.1
PZ53,436185.43,357154.83,457,543.2
PZ54,435512.6,357265.6,454,583.7
PZ55,435675.26,356733.89,460,576.4
PZ56,440600,357400,455,744.6
PZ57,434832.38,357501.92,449,677.1
PZ58,439637.93,357727.58,447,745
PZ59,441665.94,356816.32,472,783
PZ60,431980.55,355338.89,445,566
PZ61,430254.26,353656.27,449,418
PZ62,431203.14,352409.15,447,614.13
PZ63,427715.92,348414.22,439,515
PZ64,428489.64,349197.98,434,483.5
PZ65,429007.36,350404.2,433,461.5
PZ66,433643.68,356001.8,450,574.7
PZ67,431010.08,350507.84,441,564.08
PZ68,426896.02,352016.3,358,261.4
PZ69,434184.64,347319.08,361,290.9
PZ70,442632.27,360350.19,401,733
PZ71,444584.21,359840.25,447,733
PZ72,444357.8,358257.08,472,811
PZ73,445120.93,356421.08,423,808
PZ74,447128.34,360323.05,425,852.8
PZ75,445295.3,354703.04,333,761.8
PZ76,443724.6,354928.5,464,976.4
PZ77,448196.59,358442.44,245,576
PZ78,449605.75,359816.54,214,636.2
PZ79,448737.26,361396.42,379,835.7
PZ80,453522.39,359761.69,254,937.2
PZ81,451433.3,359985.77,145,661.2
PZ82,450806.07,358430.83,153,524.9
PZ83,447757.01,362892.08,301,758
PZ84,453835.56,355508.69,218,486.3
PZ85,446026.84,361827.98,367,786.2
PZ86,452176.66,354389.93,169,401
PZ87,449282.62,364134.95,230,872.2
PZ88,452745.65,356416.05,193,777
PZ89,440444.62,356197,469,777
PZ90,442917.33,365362.55,381,415.8
PZ91,448238.03,365732.36,266,740.4
PZ92,442708.99,352843.08,343,802.8
PZ93,450054.59,362677.75,320,887.4
PZ94,450054.59,367156.41,169,813.6
PZ95,451511.02,362920.65,162,854.2
PZ96,434819.75,353180.36,456,765
PZ97,455650.91,358444.61,203,431.8
PZ98,433068.61,348757.3,358,566
PZ99,451190.5,354890.43,161,418.5
PZ100,450105.82,353299,168,241.1
PZ101,435679.45,351589.85,443,694.1
PZ102,437892.47,349583.63,283,440
PZ103,443164.14,358893.28,444,706
PZ104,435629.57,359044.94,442,520
PZ105,424275.59,344635.77,470,518.1
PZ106,436174.7,346204.02,392,348
PZ107,417433.21,344157.7,329,167.7
PZ108,431067.03,344257.73,314,321
PZ109,419512.41,340309.46,263,211.2
PZ110,426386.54,346060.93,460,544
PZ111,442654.89,349669.15,215,447.4
PZ112,423889.01,342657.97,458,600.5
PZ113,437913.45,350764.7,346,357
PZ114,428752.39,347443.92,466,579.15
PZ115,429082.98,352601.36,388,358.1
PZ116,454003.53,365733.28,237,1043.8
PZ117,446216.94,359169.29,402,733.3
PZ118,443813.27,362067.82,417,767.4
PZ119,444150.37,360794.22,432,747
PZ120,442703.87,357407.85,471,772
PZ121,441483.74,348786.34,216,334.5
PZ122,443584.89,356813.74,458,885
PZ124,443834.52,348844.39,222,333.5
PKB1,455009.16,361240.3,378,1300
PKB2,451823.43,359472.09,157,1140.89
PKB3,446525.68,356977.87,283,722
PKB4,438108.99,355742.24,450,955.57
PKB5,430000,349500,424,709.55
PKB6,451401.53,362959.55,182,871.18
PKB7,419065.83,348254.51,385,400
PKB8,456261.39,357997.44,204,856
PKB9,432977.95,345939.71,367,560.5
