Drillhole,depth_at_HW,depth_at_fw,ss_thickness,ss_encountered,X,Y,Z_g_earth,Longueur
PKB1,265.0,989.0,724.0,1,455009.16,361240.3,378,1300.0
PKB2,52.0,618.0,566.0,1,451823.43,359472.09,157,1140.89
PKB3,38.0,529.0,491.0,1,446525.68,356977.87,283,722.0
PKB4,235.0,677.0,442.0,1,438108.99,355742.24,450,955.57
PKB5,109.0,431.0,322.0,1,430000.0,349500.0,424,709.55
PKB6,20.0,707.0,687.0,1,451401.53,362959.55,182,871.18
PKB7,63.0,148.0,85.0,1,419065.83,348254.51,385,400.0
PKB8,139.0,652.0,513.0,1,456261.39,357997.44,204,856.0
PKB9,203.0,350.0,147.0,1,432977.95,345939.71,367,560.5
PZ1,207.0,468.0,261.0,1,433400.0,354250.0,458,574.5
PZ10,221.0,720.0,499.0,1,439260.0,354400.0,478,822.3
PZ100,144.0,182.0,38.0,1,450105.82,353299.0,168,241.1
PZ101,136.0,612.0,476.0,1,435679.45,351589.85,443,694.1
PZ102,259.0,367.0,108.0,1,437892.47,349583.63,283,440.0
PZ103,197.0,622.0,425.0,1,443164.14,358893.28,444,706.0
PZ105,94.0,401.0,307.0,1,424275.59,344635.77,470,518.1
PZ11,240.0,627.0,387.0,1,438325.0,357350.0,451,728.29
PZ110,126.0,443.0,317.0,1,426386.54,346060.93,460,544.0
PZ111,111.0,360.0,249.0,1,442654.89,349669.15,215,447.4
PZ112,113.0,497.0,384.0,1,423889.01,342657.97,458,600.5
PZ113,149.0,275.0,126.0,1,437913.45,350764.7,346,357.0
PZ114,127.0,480.0,353.0,1,428752.39,347443.92,466,579.15
PZ115,124.0,258.0,134.0,1,429082.98,352601.36,388,358.1
PZ116,280.0,945.0,665.0,1,454003.53,365733.28,237,1043.8
PZ117,144.0,650.0,506.0,1,446216.94,359169.29,402,733.3
PZ118,254.0,705.0,451.0,1,443813.27,362067.82,417,767.4
PZ119,250.0,670.0,420.0,1,444150.37,360794.22,432,747.0
PZ120,238.0,690.0,452.0,1,442703.87,357407.85,471,772.0
PZ121,80.0,262.0,182.0,1,441483.74,348786.34,216,334.5
PZ122,189.0,810.0,621.0,1,443584.89,356813.74,458,885.0
PZ124,68.0,250.0,182.0,1,443834.52,348844.39,222,333.5
PZ13,185.0,718.0,533.0,1,440868.45,354707.34,467,809.4
PZ14,220.0,806.0,586.0,1,442677.21,355983.27,478,910.68
PZ16,300.0,506.0,206.0,1,435870.39,356468.93,462,613.0
