Drillhole,Z_HW,Z_FW,ss_thickness,ss_encountered,X,Y,Z_g_earth,Longueur
PKB1,112.5,-610.5,723.0,1,455009.16,361240.3,378,1300.0
PKB2,104.5,-460.5,565.0,1,451823.43,359472.09,157,1140.89
PKB3,244.5,-245.5,490.0,1,446525.68,356977.87,283,722.0
PKB4,214.5,-226.5,441.0,1,438108.99,355742.24,450,955.57
PKB5,314.5,-6.5,321.0,1,430000.0,349500.0,424,709.55
PKB6,161.5,-524.5,686.0,1,451401.53,362959.55,182,871.18
PKB7,321.5,237.5,84.0,1,419065.83,348254.51,385,400.0
PKB8,64.5,-447.5,512.0,1,456261.39,357997.44,204,856.0
PKB9,163.5,17.5,146.0,1,432977.95,345939.71,367,560.5
PZ1,250.5,-9.5,260.0,1,433400.0,354250.0,458,574.5
PZ10,256.5,-241.5,498.0,1,439260.0,354400.0,478,822.3
PZ100,23.5,-13.5,37.0,1,450105.82,353299.0,168,241.1
PZ101,306.5,-168.5,475.0,1,435679.45,351589.85,443,694.1
PZ102,23.5,-83.5,107.0,1,437892.47,349583.63,283,440.0
PZ103,246.5,-177.5,424.0,1,443164.14,358893.28,444,706.0
PZ105,375.5,69.5,306.0,1,424275.59,344635.77,470,518.1
PZ11,210.5,-175.5,386.0,1,438325.0,357350.0,451,728.29
PZ110,333.5,17.5,316.0,1,426386.54,346060.93,460,544.0
PZ111,103.5,-144.5,248.0,1,442654.89,349669.15,215,447.4
PZ112,344.5,-38.5,383.0,1,423889.01,342657.97,458,600.5
PZ113,196.5,71.5,125.0,1,437913.45,350764.7,346,357.0
PZ114,338.5,-13.5,352.0,1,428752.39,347443.92,466,579.15
PZ115,263.5,130.5,133.0,1,429082.98,352601.36,388,358.1
PZ116,-43.5,-707.5,664.0,1,454003.53,365733.28,237,1043.8
PZ117,257.5,-247.5,505.0,1,446216.94,359169.29,402,733.3
PZ118,162.5,-287.5,450.0,1,443813.27,362067.82,417,767.4
PZ119,181.5,-237.5,419.0,1,444150.37,360794.22,432,747.0
PZ120,232.5,-218.5,451.0,1,442703.87,357407.85,471,772.0
PZ121,135.5,-45.5,181.0,1,441483.74,348786.34,216,334.5
PZ122,268.5,-351.5,620.0,1,443584.89,356813.74,458,885.0
PZ124,153.5,-27.5,181.0,1,443834.52,348844.39,222,333.5
PZ13,281.5,-250.5,532.0,1,440868.45,354707.34,467,809.4
PZ14,257.5,-327.5,585.0,1,442677.21,355983.27,478,910.68
PZ16,161.5,-43.5,205.0,1,435870.39,356468.93,462,613.0
PZ17,230.5,-80.5,311.0,1,435463.15,355119.18,477,668.5
PZ18,160.5,-12.5,173.0,1,434988.41,356796.63,449,574.0
PZ19,241.5,-269.5,511.0,1,436377.17,354203.34,470,825.0
PZ2,236.5,-229.5,466.0,1,441977.01,358433.96,445,780.0
PZ20,210.5,-38.5,249.0,1,439241.73,358847.08,415,538.5
PZ21,210.5,-181.5,392.0,1,440625.8,359137.75,433,698.22
PZ22,209.5,-167.5,377.0,1,441281.94,358896.12,443,744.75
PZ23,269.5,-253.5,523.0,1,439374.6,352565.31,383,749.5
PZ24,275.5,-272.5,548.0,1,437167.31,352944.63,381,734.7
PZ25,349.5,-76.5,426.0,1,432767.18,351479.03,463,621.0
PZ26,258.5,-299.5,558.0,1,440870.24,353145.92,474,870.0
PZ27,245.5,-256.5,502.0,1,438109.71,353600.86,410,752.4
PZ28,279.5,-302.5,582.0,1,442331.1,354697.77,466,861.7
PZ29,269.5,-235.5,505.0,1,437816.33,352499.31,432,768.58
PZ3,84.5,-106.5,191.0,1,446636.77,357501.94,327,551.3
PZ30,244.5,-284.5,529.0,1,437212.67,354148.51,440,826.05
PZ31,303.5,-168.5,472.0,1,439445.68,351795.24,367,636.78
PZ32,198.5,-78.5,277.0,1,436687.72,355819.41,455,616.0
PZ33,106.5,27.5,79.0,1,436933.73,358368.08,445,532.1
PZ34,170.5,-35.5,206.0,1,435701.38,357968.75,445,589.0
PZ35,185.5,-206.5,392.0,1,437310.63,355650.89,461,761.1
PZ36,91.5,37.5,54.0,1,437213.0,357595.88,444,502.52
PZ37,207.5,8.5,199.0,1,436706.63,356900.18,452,535.1
PZ38,119.5,31.5,88.0,1,437223.75,357714.0,446,508.9
PZ39,200.5,19.5,181.0,1,437654.02,357694.64,445,513.47
PZ4,194.5,-230.5,425.0,1,436850.0,355100.0,466,813.41
